Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Virginia,2020,47,11/21/2020,1613,1491,15,308,41,49,18,62,15,31,12,335,89,186,176,,,,,,,,,,,,,,,
Virginia,2020,48,11/28/2020,1595,1454,14,263,58,59,18,62,20,34,18,269,86,220,203,,,,,,,,,,,,,,,
Virginia,2020,49,12/5/2020,1629,1517,22,265,53,54,21,58,29,28,15,308,73,241,222,,,,,,,,,,,,,,,
Virginia,2020,50,12/12/2020,1795,1647,23,269,65,62,18,75,31,31,18,311,94,307,282,,,,,,,,,,,,,,,
Virginia,2020,51,12/19/2020,1866,1749,22,303,63,49,19,76,39,35,15,326,78,363,328,,,,,,,,,,,,,,,
Virginia,2020,52,12/26/2020,1899,1767,17,295,63,59,23,55,29,34,21,305,90,383,348,,,,,,,,,,,,,,,
Virginia,2020,53,1/2/2021,2011,1872,26,291,53,64,27,65,27,37,19,316,89,451,420,,,,,,,,,,,,,,,
Virginia,2021,1,1/9/2021,2012,1883,12,295,47,84,22,63,33,29,29,303,98,512,476,,,,,,,,,,,,,,,
Virginia,2021,2,1/16/2021,2062,1918,16,314,76,53,28,47,27,27,26,330,85,545,507,,,,,,,,,,,,,,,
Virginia,2021,3,1/23/2021,2119,2003,17,303,55,73,20,66,31,42,32,379,109,539,490,,,,,,,,,,,,,,,
Virginia,2021,4,1/30/2021,1950,1840,27,291,57,65,20,48,28,34,26,318,82,491,452,,,,,,,,,,,,,,,
Virginia,2021,5,2/6/2021,1995,1893,23,314,60,56,18,59,29,47,37,353,98,430,383,,,,,,,,,,,,,,,
Virginia,2021,6,2/13/2021,1793,1688,29,328,48,61,31,55,20,35,47,303,71,336,307,,,,,,,,,,,,,,,
Virginia,2021,7,2/20/2021,1727,1626,19,311,54,56,23,54,29,30,52,316,76,272,242,,,,,,,,,,,,,,,
Virginia,2021,8,2/27/2021,1700,1597,23,295,43,68,17,57,26,32,60,281,90,230,205,,,,,,,,,,,,,,,
Virginia,2021,9,3/6/2021,1577,1493,14,283,48,55,17,60,31,35,88,310,93,149,129,,,,,,,,,,,,,,,
Virginia,2021,10,3/13/2021,1528,1437,19,297,36,46,12,60,33,24,68,313,79,142,127,,,,,,,,,,,,,,,
Virginia,2021,11,3/20/2021,1428,1357,21,276,44,42,10,46,22,29,82,284,65,122,103,,,,,,,,,,,,,,,
Virginia,2021,12,3/27/2021,1204,1123,12,222,26,27,11,46,16,26,74,237,59,103,89,,,,,,,,,,,,,,,
Virginia,2021,13,4/3/2021,1312,1246,17,263,36,48,15,64,23,24,77,235,56,87,71,,,,,,,,,,,,,,,
Virginia,2021,14,4/10/2021,1431,1348,17,277,40,41,17,43,20,19,93,307,62,109,95,,,,,,,,,,,,,,,
Virginia,2021,15,4/17/2021,992,948,11,197,32,33,,42,,13,88,202,66,76,65,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
Virginia,2021,16,4/24/2021,805,782,,154,30,30,11,34,20,17,70,155,41,62,55,,,Suppressed (counts 1-9),,,,,,,,,,,,
Washington,2020,1,1/4/2020,1183,1069,14,223,34,68,30,63,24,,,245,62,0,0,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Washington,2020,2,1/11/2020,1246,1143,17,267,46,83,31,67,19,13,11,259,48,0,0,,,,,,,,,,,,,,,
Washington,2020,3,1/18/2020,1221,1107,12,259,44,81,24,62,19,,,225,73,0,0,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Washington,2020,4,1/25/2020,1192,1087,14,252,33,65,20,64,15,,,272,59,0,0,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Washington,2020,5,2/1/2020,1200,1104,15,268,41,61,20,60,22,,12,262,60,0,0,,,,,,,,,,Suppressed (counts 1-9),,,,,
Washington,2020,6,2/8/2020,1180,1074,,230,42,62,26,70,14,,11,244,78,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Washington,2020,7,2/15/2020,1179,1078,,245,41,80,32,62,20,,13,235,63,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Washington,2020,8,2/22/2020,1115,1021,11,250,27,87,19,56,11,,,229,60,0,0,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Washington,2020,9,2/29/2020,1135,1046,15,240,39,73,24,62,15,14,10,214,65,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Washington,2020,10,3/7/2020,1208,1094,10,238,43,60,30,67,15,12,10,261,63,21,19,,,,,,,,,,,,,,,
Washington,2020,11,3/14/2020,1165,1057,12,220,38,71,28,65,26,,10,238,52,27,26,,,,,,,,,,Suppressed (counts 1-9),,,,,
Washington,2020,12,3/21/2020,1224,1125,16,221,29,82,40,60,25,12,10,245,68,64,61,,,,,,,,,,,,,,,
Washington,2020,13,3/28/2020,1294,1197,11,236,45,77,26,61,11,,13,237,70,123,114,,,,,,,,,,Suppressed (counts 1-9),,,,,
Washington,2020,14,4/4/2020,1305,1194,19,211,40,67,25,64,16,,11,236,61,160,157,,,,,,,,,,Suppressed (counts 1-9),,,,,
Washington,2020,15,4/11/2020,1304,1193,11,245,47,76,13,60,18,,20,247,44,148,135,,,,,,,,,,Suppressed (counts 1-9),,,,,
Washington,2020,16,4/18/2020,1251,1116,15,220,46,73,22,46,20,,10,219,63,122,113,,,,,,,,,,Suppressed (counts 1-9),,,,,
Washington,2020,17,4/25/2020,1231,1118,12,248,46,72,12,46,,11,,234,66,108,94,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Washington,2020,18,5/2/2020,1157,1057,16,260,31,63,14,54,,10,,185,62,79,72,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Washington,2020,19,5/9/2020,1211,1089,,246,41,78,15,58,19,,12,240,46,87,78,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Washington,2020,20,5/16/2020,1138,1014,11,243,28,59,13,51,11,,,210,59,71,63,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Washington,2020,21,5/23/2020,1114,993,12,236,48,53,,34,11,11,,227,60,49,41,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Washington,2020,22,5/30/2020,1058,944,,228,23,61,,47,14,,15,223,49,37,32,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Washington,2020,23,6/6/2020,1054,922,10,202,35,61,,57,15,10,12,190,48,34,29,,,,,,,Suppressed (counts 1-9),,,,,,,,
Washington,2020,24,6/13/2020,1101,979,,220,34,65,,45,,,,235,57,44,38,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Washington,2020,25,6/20/2020,1133,1022,,248,48,63,,56,18,,,214,60,31,26,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Washington,2020,26,6/27/2020,1084,970,14,231,28,72,11,44,11,,,216,62,41,30,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Washington,2020,27,7/4/2020,1125,1008,14,235,28,73,,46,14,,12,223,60,44,39,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Washington,2020,28,7/11/2020,1162,1046,,244,43,72,10,44,13,,10,216,55,58,53,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Washington,2020,29,7/18/2020,1179,1061,14,251,41,65,,50,16,,10,209,70,51,47,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Washington,2020,30,7/25/2020,1179,1058,12,245,37,76,,49,,,14,199,61,77,70,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Washington,2020,31,8/1/2020,1229,1091,16,269,42,73,11,50,12,,12,214,45,92,82,,,,,,,,,,Suppressed (counts 1-9),,,,,
Washington,2020,32,8/8/2020,1233,1117,16,253,40,71,,47,13,14,13,219,67,84,73,,,,,,,Suppressed (counts 1-9),,,,,,,,
Washington,2020,33,8/15/2020,1174,1041,17,250,39,67,10,33,17,,12,210,57,76,60,,,,,,,,,,Suppressed (counts 1-9),,,,,
Washington,2020,34,8/22/2020,1199,1065,13,255,38,80,,45,13,,10,220,60,52,44,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Washington,2020,35,8/29/2020,1118,991,,259,42,54,,39,,12,,197,52,46,42,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
Washington,2020,36,9/5/2020,1239,1096,11,278,27,78,12,52,11,,13,223,54,42,34,,,,,,,,,,Suppressed (counts 1-9),,,,,
Washington,2020,37,9/12/2020,1145,1042,10,275,42,75,,53,10,,11,218,46,31,29,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Washington,2020,38,9/19/2020,1178,1066,,242,36,75,10,49,15,12,15,249,45,44,38,,,Suppressed (counts 1-9),,,,,,,,,,,,
Washington,2020,39,9/26/2020,1167,1046,11,248,31,61,,41,13,,11,236,62,46,37,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Washington,2020,40,10/3/2020,1143,1023,11,252,35,56,14,40,10,,14,219,53,48,40,,,,,,,,,,Suppressed (counts 1-9),,,,,
Washington,2020,41,10/10/2020,1162,1055,10,248,35,78,14,48,16,10,16,222,57,39,35,,,,,,,,,,,,,,,
Washington,2020,42,10/17/2020,1149,1039,16,249,48,71,10,46,16,,11,208,57,44,31,,,,,,,,,,Suppressed (counts 1-9),,,,,
Washington,2020,43,10/24/2020,1195,1106,13,254,42,70,12,42,18,,18,246,69,68,57,,,,,,,,,,Suppressed (counts 1-9),,,,,
Washington,2020,44,10/31/2020,1194,1086,16,253,52,59,,52,16,10,10,214,57,71,60,,,,,,,Suppressed (counts 1-9),,,,,,,,
Washington,2020,45,11/7/2020,1274,1171,10,269,38,73,11,59,13,10,10,262,54,67,60,,,,,,,,,,,,,,,
Washington,2020,46,11/14/2020,1312,1200,11,240,39,86,10,65,16,16,,263,62,88,78,,,,,,,,,,,Suppressed (counts 1-9),,,,
Washington,2020,47,11/21/2020,1325,1203,11,261,56,79,14,61,19,,,235,70,112,94,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Washington,2020,48,11/28/2020,1243,1132,15,228,44,65,10,39,13,,,224,55,148,136,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Washington,2020,49,12/5/2020,1354,1239,12,220,46,75,14,43,,,10,257,73,205,182,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Washington,2020,50,12/12/2020,1411,1297,,244,49,79,13,46,20,,14,240,68,220,202,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Washington,2020,51,12/19/2020,1379,1282,14,277,41,73,14,56,12,,14,251,48,218,200,,,,,,,,,,Suppressed (counts 1-9),,,,,
Washington,2020,52,12/26/2020,1389,1263,11,255,42,77,14,46,15,10,15,231,57,204,174,,,,,,,,,,,,,,,
Washington,2020,53,1/2/2021,1347,1236,15,250,50,68,12,48,14,,15,258,63,181,164,,,,,,,,,,Suppressed (counts 1-9),,,,,
Washington,2021,1,1/9/2021,1419,1298,15,257,52,69,,50,20,,17,236,64,211,189,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Washington,2021,2,1/16/2021,1385,1281,,266,45,85,14,45,14,,42,236,71,160,134,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Washington,2021,3,1/23/2021,1300,1204,,246,46,71,,44,13,11,24,227,57,172,146,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
Washington,2021,4,1/30/2021,1321,1207,,279,23,68,12,49,18,,24,250,59,147,119,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Washington,2021,5,2/6/2021,1334,1229,10,268,40,82,,51,17,,28,249,56,147,119,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Washington,2021,6,2/13/2021,1233,1140,,243,43,67,17,47,11,,31,245,61,95,84,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Washington,2021,7,2/20/2021,1244,1159,15,255,58,67,13,46,14,,41,257,50,84,70,,,,,,,,,,Suppressed (counts 1-9),,,,,
Washington,2021,8,2/27/2021,1224,1133,10,269,33,63,10,53,15,,50,220,50,76,61,,,,,,,,,,Suppressed (counts 1-9),,,,,
Washington,2021,9,3/6/2021,1230,1141,,250,40,67,,55,22,,39,234,66,59,54,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Washington,2021,10,3/13/2021,1179,1093,,265,41,55,11,42,13,,49,223,59,39,28,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
Washington,2021,11,3/20/2021,1151,1061,11,254,41,50,,67,16,11,51,224,56,34,25,,,,,,,Suppressed (counts 1-9),,,,,,,,
Washington,2021,12,3/27/2021,1194,1092,,261,44,69,,39,17,,58,226,61,44,34,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Washington,2021,13,4/3/2021,1142,1066,10,240,48,60,,45,19,,67,245,54,30,22,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Washington,2021,14,4/10/2021,1082,1019,,245,46,54,11,40,12,10,62,200,50,43,40,,,Suppressed (counts 1-9),,,,,,,,,,,,
Washington,2021,15,4/17/2021,788,757,,201,19,49,,31,,,47,154,37,39,32,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Washington,2021,16,4/24/2021,540,529,,118,19,38,,26,,,36,112,24,19,12,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2020,1,1/4/2020,473,438,,82,16,15,11,52,,11,,102,22,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2020,2,1/11/2020,494,441,12,75,22,20,,39,,12,,111,20,0,0,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2020,3,1/18/2020,519,476,,99,22,18,14,40,10,18,,113,20,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
West Virginia,2020,4,1/25/2020,440,389,,84,18,15,12,29,,14,,111,21,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2020,5,2/1/2020,482,442,,90,22,12,,49,,12,,107,20,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2020,6,2/8/2020,482,432,,98,24,19,14,29,,11,,116,13,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2020,7,2/15/2020,477,440,,102,27,20,17,37,,,11,101,10,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2020,8,2/22/2020,467,422,,71,20,21,13,36,,10,15,108,23,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
West Virginia,2020,9,2/29/2020,460,409,,93,28,15,10,32,,15,11,95,18,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
West Virginia,2020,10,3/7/2020,483,430,,101,24,13,16,38,,10,11,102,13,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
West Virginia,2020,11,3/14/2020,475,422,,100,17,19,12,40,,,,99,17,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2020,12,3/21/2020,470,426,,78,22,13,15,43,,15,13,103,25,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
West Virginia,2020,13,3/28/2020,491,441,,79,16,20,15,42,,11,10,105,26,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
West Virginia,2020,14,4/4/2020,467,415,,93,18,26,19,36,,,,91,14,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
West Virginia,2020,15,4/11/2020,523,462,,107,27,27,14,36,,16,,91,12,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
West Virginia,2020,16,4/18/2020,419,374,,75,20,11,,29,,,,92,15,11,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
West Virginia,2020,17,4/25/2020,459,399,,87,19,10,,41,,12,,77,17,16,13,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2020,18,5/2/2020,481,419,,90,24,23,,24,,,,102,23,15,10,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2020,19,5/9/2020,449,386,,79,14,15,,23,,13,,107,26,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
West Virginia,2020,20,5/16/2020,477,420,,92,18,14,16,32,,,,85,13,14,11,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2020,21,5/23/2020,437,365,,70,20,16,,24,,,,94,18,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
West Virginia,2020,22,5/30/2020,411,352,,68,14,16,,28,,,,109,12,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
West Virginia,2020,23,6/6/2020,408,350,,93,17,16,,20,,12,,83,15,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
West Virginia,2020,24,6/13/2020,457,390,,88,17,17,,25,,11,12,89,12,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
West Virginia,2020,25,6/20/2020,419,358,,82,17,18,,20,,10,,105,13,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
West Virginia,2020,26,6/27/2020,463,409,,102,17,13,,27,,,,91,17,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
West Virginia,2020,27,7/4/2020,423,379,,88,22,22,,29,,12,,78,18,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
West Virginia,2020,28,7/11/2020,435,367,,93,16,19,,11,,,,100,16,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
West Virginia,2020,29,7/18/2020,425,382,,88,10,10,12,25,,10,13,87,13,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
West Virginia,2020,30,7/25/2020,501,439,,104,23,20,15,34,,,,93,16,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
West Virginia,2020,31,8/1/2020,473,423,,86,16,16,,28,,12,,101,12,17,16,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2020,32,8/8/2020,494,438,,109,20,,,25,,,,104,13,22,21,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2020,33,8/15/2020,462,417,,85,25,15,,23,,,11,88,19,14,13,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2020,34,8/22/2020,497,443,,86,22,26,,33,,11,12,80,17,31,24,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2020,35,8/29/2020,440,397,,79,19,17,,30,,10,,96,12,31,25,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2020,36,9/5/2020,458,399,,90,17,19,,25,,11,,78,18,28,24,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2020,37,9/12/2020,467,399,,100,22,17,,26,,,11,91,14,22,16,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2020,38,9/19/2020,478,418,,81,25,12,,25,,14,10,78,25,36,27,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2020,39,9/26/2020,489,430,,90,13,15,,46,,13,,96,23,23,21,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2020,40,10/3/2020,422,382,,79,21,22,,21,,,,82,12,23,20,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2020,41,10/10/2020,495,424,,88,22,10,,22,,11,10,91,14,34,30,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2020,42,10/17/2020,451,414,,101,18,16,,37,,,,80,17,21,20,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2020,43,10/24/2020,466,424,12,88,13,13,,35,,,,86,16,28,26,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2020,44,10/31/2020,479,435,,94,17,17,10,31,,11,,102,18,42,39,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2020,45,11/7/2020,522,462,10,88,13,12,,28,,,,89,23,52,50,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2020,46,11/14/2020,545,487,,103,26,21,,25,,16,,112,15,53,48,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2020,47,11/21/2020,521,464,,77,22,15,,27,,12,,91,16,82,79,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2020,48,11/28/2020,568,522,,89,28,18,,32,,14,13,99,15,87,80,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
West Virginia,2020,49,12/5/2020,627,577,,93,30,13,11,30,,,16,99,21,136,127,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
West Virginia,2020,50,12/12/2020,636,570,,94,19,17,,31,,,,109,11,161,155,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
West Virginia,2020,51,12/19/2020,679,620,12,99,24,25,10,30,,13,,101,23,180,172,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2020,52,12/26/2020,643,595,10,88,24,17,,32,,16,,104,11,174,156,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2020,53,1/2/2021,708,650,,72,26,19,,39,,12,,120,17,198,183,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2021,1,1/9/2021,671,619,,75,23,16,11,38,,10,10,96,25,207,192,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
West Virginia,2021,2,1/16/2021,617,591,,91,29,19,12,26,,16,,112,24,169,153,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2021,3,1/23/2021,574,539,,90,26,17,,25,,10,,95,14,134,123,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2021,4,1/30/2021,560,519,,90,27,17,11,28,,17,10,96,12,113,97,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
West Virginia,2021,5,2/6/2021,492,462,,84,18,10,,29,,21,,95,21,104,87,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
West Virginia,2021,6,2/13/2021,405,399,,70,22,10,,27,,15,,68,19,90,75,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
